Sample;Fineness
IMG_6071.png;65,6
IMG_6072.png;65,6
IMG_6073.png;65,6
IMG_6074.png;65,6
IMG_6208.png;36,7
IMG_6209.png;36,7
IMG_6210.png;36,7
IMG_6211.png;36,7
IMG_6268.png;44,6
IMG_6269.png;44,6
IMG_6270.png;44,6
IMG_6271.png;44,6
IMG_5942.png;60,3
IMG_5943.png;60,3
IMG_5944.png;60,3
IMG_5945.png;60,3
IMG_5794.png;62,4
IMG_5795.png;62,4
IMG_5796.png;62,4
IMG_5797.png;62,4
IMG_6192.png;57,3
IMG_6193.png;57,3
IMG_6194.png;57,3
IMG_6195.png;57,3
IMG_6395.png;73,6
IMG_6396.png;73,6
IMG_6397.png;73,6
IMG_6398.png;73,6
IMG_5818.png;23,7
IMG_5819.png;23,7
IMG_5820.png;23,7
IMG_5821.png;23,7
IMG_6407.png;62,1
IMG_6408.png;62,1
IMG_6409.png;62,1
IMG_6410.png;62,1
IMG_6115.png;74,6
IMG_6116.png;74,6
IMG_6117.png;74,6
IMG_6119.png;74,6
IMG_5894.png;72,9
IMG_5895.png;72,9
IMG_5896.png;72,9
IMG_5897.png;72,9
IMG_6099.png;42,7
IMG_6100.png;42,7
IMG_6101.png;42,7
IMG_6102.png;42,7
IMG_5978.png;29,6
IMG_5979.png;29,6
IMG_5980.png;29,6
IMG_5981.png;29,6
IMG_5846.png;70,5
IMG_5847.png;70,5
IMG_5849.png;70,5
IMG_6236.png;61,5
IMG_6237.png;61,5
IMG_6238.png;61,5
IMG_6239.png;61,5
IMG_6332.png;86,1
IMG_6333.png;86,1
IMG_6334.png;86,1
IMG_6335.png;86,1
IMG_5749.png;47,2
IMG_5750.png;47,2
IMG_5751.png;47,2
IMG_5752.png;47,2
IMG_5842.png;45,9
IMG_5843.png;45,9
IMG_5844.png;45,9
IMG_5845.png;45,9
IMG_6011.png;24,3
IMG_6012.png;24,3
IMG_6013.png;24,3
IMG_6014.png;24,3
IMG_6340.png;59,1
IMG_6341.png;59,1
IMG_6342.png;59,1
IMG_6343.png;59,1
IMG_5926.png;27,9
IMG_5927.png;27,9
IMG_5928.png;27,9
IMG_5929.png;27,9
IMG_6140.png;76,1
IMG_6141.png;76,1
IMG_6142.png;76,1
IMG_6143.png;76,1
IMG_6376.png;45
IMG_6377.png;45
IMG_6378.png;45
IMG_6379.png;45
IMG_6228.png;24,8
IMG_6229.png;24,8
IMG_6230.png;24,8
IMG_6231.png;24,8
IMG_5757.png;23
IMG_5758.png;23
IMG_5759.png;23
IMG_5760.png;23
IMG_5850.png;54,3
IMG_5851.png;54,3
IMG_5853.png;54,3
IMG_6156.png;28,6
IMG_6157.png;28,6
IMG_6158.png;28,6
IMG_6159.png;28,6
IMG_6345.png;58,3
IMG_6346.png;58,3
IMG_6347.png;58,3
IMG_6120.png;52,6
IMG_6121.png;52,6
IMG_6123.png;52,6
IMG_6051.png;39,3
IMG_6052.png;39,3
IMG_6054.png;39,3
IMG_6047.png;47,9
IMG_6048.png;47,9
IMG_6049.png;47,9
IMG_6050.png;47,9
IMG_6108.png;33,5
IMG_6109.png;33,5
IMG_6110.png;33,5
IMG_6296.png;27,8
IMG_6297.png;27,8
IMG_6298.png;27,8
IMG_6299.png;27,8
IMG_5761.png;19,3
IMG_5762.png;19,3
IMG_5763.png;19,3
IMG_5764.png;19,3
IMG_6256.png;26,7
IMG_6257.png;26,7
IMG_6258.png;26,7
IMG_6259.png;26,7
IMG_6019.png;78,9
IMG_6020.png;78,9
IMG_6021.png;78,9
IMG_6022.png;78,9
IMG_5902.png;43,5
IMG_5904.png;43,5
IMG_5905.png;43,5
IMG_6152.png;42,7
IMG_6153.png;42,7
IMG_6155.png;42,7
IMG_5830.png;23,8
IMG_5831.png;23,8
IMG_5832.png;23,8
IMG_5833.png;23,8
IMG_6360.png;78,4
IMG_6362.png;78,4
IMG_6363.png;78,4
IMG_6015.png;21,8
IMG_6016.png;21,8
IMG_6017.png;21,8
IMG_6018.png;21,8
IMG_5946.png;73,4
IMG_5947.png;73,4
IMG_5949.png;73,4
IMG_6079.png;36,7
IMG_6080.png;36,7
IMG_6081.png;36,7
IMG_6082.png;36,7
IMG_6240.png;45,8
IMG_6241.png;45,8
IMG_6242.png;45,8
IMG_6243.png;45,8
IMG_5999.png;51,9
IMG_6000.png;51,9
IMG_6002.png;51,9
IMG_6087.png;23,9
IMG_6088.png;23,9
IMG_6089.png;23,9
IMG_6090.png;23,9
IMG_6220.png;43,5
IMG_6221.png;43,5
IMG_6222.png;43,5
IMG_6223.png;43,5
IMG_6091.png;78,5
IMG_6092.png;78,5
IMG_6093.png;78,5
IMG_6094.png;78,5
IMG_6083.png;33,9
IMG_6085.png;33,9
IMG_6086.png;33,9
IMG_5838.png;30,3
IMG_5839.png;30,3
IMG_5840.png;30,3
IMG_5841.png;30,3
IMG_6184.png;23,2
IMG_6185.png;23,2
IMG_6186.png;23,2
IMG_6187.png;23,2
IMG_6128.png;36,2
IMG_6129.png;36,2
IMG_6130.png;36,2
IMG_6131.png;36,2
IMG_6372.png;51,1
IMG_6373.png;51,1
IMG_6374.png;51,1
IMG_6375.png;51,1
IMG_5874.png;30,5
IMG_5875.png;30,5
IMG_5876.png;30,5
IMG_5877.png;30,5
IMG_6164.png;77,4
IMG_6165.png;77,4
IMG_6166.png;77,4
IMG_6167.png;77,4
IMG_6272.png;35
IMG_6273.png;35
IMG_6274.png;35
IMG_6275.png;35
IMG_5826.png;19,2
IMG_5827.png;19,2
IMG_5829.png;19,2
IMG_6328.png;66,3
IMG_6329.png;66,3
IMG_6330.png;66,3
IMG_6331.png;66,3
IMG_5799.png;68,1
IMG_5800.png;68,1
IMG_6103.png;21,3
IMG_6104.png;21,3
IMG_6105.png;21,3
IMG_5918.png;22,5
IMG_5919.png;22,5
IMG_5920.png;22,5
IMG_5921.png;22,5
IMG_6067.png;78,6
IMG_6069.png;78,6
IMG_6070.png;78,6
IMG_6216.png;58,1
IMG_6217.png;58,1
IMG_6218.png;58,1
IMG_6219.png;58,1
IMG_5882.png;40,2
IMG_5883.png;40,2
IMG_5884.png;40,2
IMG_5885.png;40,2
IMG_6260.png;69,6
IMG_6261.png;69,6
IMG_6262.png;69,6
IMG_6148.png;44,4
IMG_6150.png;44,4
IMG_6151.png;44,4
IMG_6007.png;33,9
IMG_6008.png;33,9
IMG_6010.png;33,9
IMG_6403.png;54,7
IMG_6404.png;54,7
IMG_6405.png;54,7
IMG_6406.png;54,7
IMG_5765.png;32,3
IMG_5766.png;32,3
IMG_5767.png;32,3
IMG_5768.png;32,3
IMG_6232.png;22,7
IMG_6233.png;22,7
IMG_6234.png;22,7
IMG_6235.png;22,7
IMG_5814.png;27,7
IMG_5815.png;27,7
IMG_5816.png;27,7
IMG_5817.png;27,7
IMG_5938.png;56,7
IMG_5939.png;56,7
IMG_5940.png;56,7
IMG_5941.png;56,7
IMG_6063.png;19
IMG_6064.png;19
IMG_6065.png;19
IMG_6066.png;19
IMG_6391.png;85,9
IMG_6392.png;85,9
IMG_6393.png;85,9
IMG_6394.png;85,9
IMG_6252.png;28,7
IMG_6253.png;28,7
IMG_6254.png;28,7
IMG_6255.png;28,7
IMG_6320.png;61,7
IMG_6321.png;61,7
IMG_5802.png;54,1
IMG_5803.png;54,1
IMG_5804.png;54,1
IMG_5805.png;54,1
IMG_6204.png;27,9
IMG_6205.png;27,9
IMG_6206.png;27,9
IMG_6207.png;27,9
IMG_5898.png;58,1
IMG_5899.png;58,1
IMG_5900.png;58,1
IMG_5901.png;58,1
IMG_6312.png;78,6
IMG_6313.png;78,6
IMG_6315.png;78,6
IMG_5858.png;34,2
IMG_6336.png;81,6
IMG_6337.png;81,6
IMG_6338.png;81,6
IMG_6339.png;81,6
IMG_5786.png;48,3
IMG_5787.png;48,3
IMG_5788.png;48,3
IMG_5789.png;48,3
IMG_6180.png;23,9
IMG_6181.png;23,9
IMG_6182.png;23,9
IMG_6183.png;23,9
IMG_5910.png;29,1
IMG_5911.png;29,1
IMG_5912.png;29,1
IMG_5913.png;29,1
IMG_6364.png;64,4
IMG_6365.png;64,4
IMG_6366.png;64,4
IMG_6367.png;64,4
IMG_6348.png;47,9
IMG_6349.png;47,9
IMG_6350.png;47,9
IMG_6351.png;47,9
IMG_5962.png;20,3
IMG_5963.png;20,3
IMG_5964.png;20,3
IMG_5965.png;20,3
IMG_5854.png;37,8
IMG_5855.png;37,8
IMG_5856.png;37,8
IMG_5857.png;37,8
IMG_6288.png;48,9
IMG_6289.png;48,9
IMG_6290.png;48,9
IMG_6291.png;48,9
IMG_6176.png;32,2
IMG_6177.png;32,2
IMG_6178.png;32,2
IMG_6179.png;32,2
IMG_6317.png;62,1
IMG_6043.png;72,4
IMG_6044.png;72,4
IMG_6045.png;72,4
IMG_6046.png;72,4
IMG_6304.png;22,9
IMG_6305.png;22,9
IMG_6306.png;22,9
IMG_6352.png;71,3
IMG_6353.png;71,3
IMG_6354.png;71,3
IMG_6355.png;71,3
IMG_6248.png;34,7
IMG_6249.png;34,7
IMG_6250.png;34,7
IMG_6251.png;34,7
IMG_6300.png;30,7
IMG_6301.png;30,7
IMG_6302.png;30,7
IMG_6303.png;30,7
IMG_6292.png;41,5
IMG_6293.png;41,5
IMG_6294.png;41,5
IMG_6295.png;41,5
IMG_6244.png;43,9
IMG_6245.png;43,9
IMG_6246.png;43,9
IMG_6247.png;43,9
IMG_5890.png;55,3
IMG_5891.png;55,3
IMG_5892.png;55,3
IMG_5893.png;55,3
IMG_6188.png;78,7
IMG_6189.png;78,7
IMG_6190.png;78,7
IMG_6191.png;78,7
IMG_6324.png;55,7
IMG_6325.png;55,7
IMG_6327.png;55,7
IMG_5966.png;67,3
IMG_5967.png;67,3
IMG_5969.png;67,3
IMG_6212.png;78,5
IMG_6213.png;78,5
IMG_6214.png;78,5
IMG_6215.png;78,5
IMG_5870.png;29,4
IMG_5871.png;29,4
IMG_5872.png;29,4
IMG_5873.png;29,4
IMG_6144.png;56,9
IMG_6145.png;56,9
IMG_6146.png;56,9
IMG_6147.png;56,9
IMG_5958.png;30,8
IMG_5959.png;30,8
IMG_5960.png;30,8
IMG_5961.png;30,8
IMG_6168.png;51,6
IMG_6169.png;51,6
IMG_6171.png;51,6
IMG_6172.png;36,8
IMG_6173.png;36,8
IMG_6174.png;36,8
IMG_6175.png;36,8
IMG_6276.png;28,2
IMG_6277.png;28,2
IMG_6278.png;28,2
IMG_6279.png;28,2
IMG_5922.png;27,5
IMG_5923.png;27,5
IMG_5924.png;27,5
IMG_5925.png;27,5
IMG_6055.png;35
IMG_6056.png;35
IMG_6057.png;35
IMG_6058.png;35
IMG_5790.png;49,6
IMG_5791.png;49,6
IMG_5792.png;49,6
IMG_5793.png;49,6
IMG_6356.png;86,5
IMG_6357.png;86,5
IMG_6358.png;86,5
IMG_6359.png;86,5
IMG_5834.png;26,4
IMG_5835.png;26,4
IMG_5836.png;26,4
IMG_5837.png;26,4
IMG_6126.png;43,5
